f,a,x,y,v,x_abs,y_abs,second
0,28,0.39896491169929504,0.9066746830940247,0.9466044306755066,0.19070522779226304,0.7706734806299209,0.0
0,27,0.4462854266166687,0.8789502382278442,0.6629812121391296,0.21332443392276765,0.7471077024936676,0.0
0,24,0.41434669494628906,0.5696260929107666,0.9994875192642212,0.19805772018432616,0.4841821789741516,0.0
0,23,0.4733065068721771,0.5682321786880493,0.9985176920890808,0.22624051028490066,0.48299735188484194,0.0
0,16,0.49679505825042725,0.5999309420585632,0.9671807289123535,0.2374680378437042,0.5099413007497787,0.0
0,15,0.5245672464370728,0.571443498134613,0.19267567992210388,0.25074314379692075,0.48572697341442106,0.0
0,12,0.4081062376499176,0.28557074069976807,0.999977707862854,0.1950747815966606,0.24273512959480287,0.0
0,11,0.4812620282173157,0.295302152633667,0.99960857629776,0.23004324948787688,0.25100682973861693,0.0
1,28,0.4098356068134308,0.9073969125747681,0.9402148723602295,0.1959014200568199,0.7712873756885529,0.016837805907172997
1,27,0.43133285641670227,0.8840402364730835,0.6528812050819397,0.20617710536718367,0.751434201002121,0.016837805907172997
1,24,0.4229530990123749,0.5753527879714966,0.9994479417800903,0.20217158132791518,0.4890498697757721,0.016837805907172997
1,23,0.4743034243583679,0.5730833411216736,0.998455822467804,0.22671703684329986,0.48712083995342254,0.016837805907172997
1,16,0.4948819875717163,0.5993586778640747,0.9651405811309814,0.2365535900592804,0.5094548761844635,0.016837805907172997
1,15,0.5162551999092102,0.5711391568183899,0.18705834448337555,0.24676998555660248,0.4854682832956314,0.016837805907172997
1,12,0.4060630202293396,0.28764575719833374,0.9999741315841675,0.19409812366962434,0.24449889361858368,0.016837805907172997
1,11,0.4758196175098419,0.29512104392051697,0.9995273351669312,0.22744177716970443,0.25085288733243943,0.016837805907172997
2,28,0.4142163097858429,0.9084230661392212,0.9366707801818848,0.1979953960776329,0.772159606218338,0.033675611814345995
2,27,0.4247196614742279,0.8861965537071228,0.6455516815185547,0.20301599818468094,0.7532670706510544,0.033675611814345995
2,24,0.4291539490222931,0.5800884366035461,0.9994176626205444,0.2051355876326561,0.49307517111301424,0.033675611814345995
2,23,0.47933852672576904,0.5772638916969299,0.9983810782432556,0.2291238157749176,0.4906743079423904,0.033675611814345995
2,16,0.4944545328617096,0.5985055565834045,0.9629362225532532,0.2363492667078972,0.5087297230958938,0.033675611814345995
2,15,0.5134314298629761,0.5705804228782654,0.18074671924114227,0.24542022347450257,0.48499335944652555,0.033675611814345995
2,12,0.40458306670188904,0.2887672483921051,0.9999708533287048,0.19339070588350296,0.24545216113328933,0.033675611814345995
2,11,0.4757944345474243,0.2952709496021271,0.9994327425956726,0.2274297397136688,0.250980307161808,0.033675611814345995
3,28,0.4155600368976593,0.9097469449043274,0.9340910911560059,0.19863769763708114,0.7732849031686783,0.05051341772151899
3,27,0.42508795857429504,0.8895730972290039,0.6403494477272034,0.20319204419851303,0.7561371326446533,0.05051341772151899
3,24,0.4302373230457306,0.5813731551170349,0.9993912577629089,0.20565344041585923,0.49416718184947966,0.05051341772151899
3,23,0.4821910560131073,0.5785523653030396,0.9983267188072205,0.23048732477426528,0.4917695105075836,0.05051341772151899
3,16,0.49436864256858826,0.5984150171279907,0.9617880582809448,0.2363082111477852,0.5086527645587922,0.05051341772151899
3,15,0.5134256482124329,0.5698391795158386,0.1772828847169876,0.24541745984554292,0.48436330258846283,0.05051341772151899
