f,a,x,y,v,x_abs,y_abs,second
0,28,0.35187649726867676,0.9463822245597839,0.9036463499069214,0.1681969656944275,0.8044248908758164,0.0
0,27,0.3943832814693451,0.8896270990371704,0.5057135820388794,0.18851520854234696,0.7561830341815948,0.0
0,24,0.43456947803497314,0.5976917743682861,0.9984245300292969,0.20772421050071715,0.5080380082130432,0.0
0,23,0.48918217420578003,0.5929378867149353,0.9948943853378296,0.23382907927036287,0.503997203707695,0.0
0,16,0.5176479816436768,0.6621692180633545,0.9148442149162292,0.2474357352256775,0.5628438353538513,0.0
0,15,0.5111934542655945,0.6209331154823303,0.09208700060844421,0.24435047113895417,0.5277931481599808,0.0
0,12,0.3659152388572693,0.3273094594478607,0.9999080896377563,0.17490748417377472,0.27821304053068163,0.0
0,11,0.4343147873878479,0.32967764139175415,0.9977688789367676,0.2076024683713913,0.280225995182991,0.0
1,28,0.35098403692245483,0.9463557600975037,0.905649721622467,0.1677703696489334,0.8044023960828781,0.01684488188976378
1,27,0.3771151304244995,0.8956614136695862,0.5012333393096924,0.18026103234291077,0.7613122016191483,0.01684488188976378
1,24,0.4396037757396698,0.6009453535079956,0.9982516765594482,0.21013060480356216,0.5108035504817963,0.01684488188976378
1,23,0.4862765669822693,0.5958874225616455,0.994112491607666,0.23244019901752472,0.5065043091773986,0.01684488188976378
1,16,0.5199227333068848,0.6620945930480957,0.9167658090591431,0.24852306652069092,0.5627804040908814,0.01684488188976378
1,15,0.5101333856582642,0.6209551095962524,0.08633483946323395,0.24384375834465027,0.5278118431568146,0.01684488188976378
1,12,0.36608847975730896,0.3285258114337921,0.9998992085456848,0.17499029332399368,0.2792469397187233,0.01684488188976378
1,11,0.43003520369529724,0.3277074098587036,0.997425377368927,0.20555682736635209,0.27855129837989806,0.01684488188976378
2,28,0.35132795572280884,0.9463585019111633,0.9086608290672302,0.16793476283550263,0.8044047266244888,0.03368976377952756
2,27,0.3783740997314453,0.8955897688865662,0.5044559836387634,0.18086281967163087,0.7612513035535813,0.03368976377952756
2,24,0.4414551556110382,0.6014475226402283,0.9981438517570496,0.21101556438207628,0.511230394244194,0.03368976377952756
2,23,0.4858345091342926,0.5965606570243835,0.9935874938964844,0.23222889536619187,0.507076558470726,0.03368976377952756
2,16,0.5206550359725952,0.6619722247123718,0.9189116954803467,0.24887310719490052,0.562676391005516,0.03368976377952756
2,15,0.5100686550140381,0.6214335560798645,0.0811077207326889,0.2438128170967102,0.5282185226678848,0.03368976377952756
2,12,0.36592891812324524,0.3279511332511902,0.9998947381973267,0.17491402286291122,0.27875846326351167,0.03368976377952756
2,11,0.4281865060329437,0.32473084330558777,0.9971293807029724,0.2046731498837471,0.2760212168097496,0.03368976377952756
3,28,0.3530622720718384,0.9445791244506836,0.910785973072052,0.16876376605033874,0.8028922557830811,0.05053464566929134
