second,a,x_abs,y_abs,v
1.0,"(11, 'left_shoulder')",1769.1134782270951,246.38744359666651,0.9999071684750643
1.0,"(12, 'right_shoulder')",1698.1803339177911,275.5392761122097,0.999729950319637
1.0,"(15, 'left_wrist')",1776.7172969471324,352.51713330095464,0.9545882560990073
1.0,"(16, 'right_wrist')",1640.7854201576927,443.0098668011752,0.6730103221806613
1.0,"(23, 'left_hip')",1740.9431440179999,549.1450603983619,0.9995516809550199
1.0,"(24, 'right_hip')",1709.807255484841,551.3149577379227,0.9989483437754891
1.0,"(27, 'left_ankle')",1656.2420654296875,972.8709411621094,0.9794226993214
1.0,"(28, 'right_ankle')",1800.9036827087402,934.6832760897549,0.7881803539666262
2.0,"(11, 'left_shoulder')",1392.494831085205,256.18953001499176,0.9999895334243775
2.0,"(12, 'right_shoulder')",1347.8210487365723,268.07086730003357,0.9997277736663819
2.0,"(15, 'left_wrist')",1374.0820045471191,367.99652659893036,0.9949753979841868
2.0,"(16, 'right_wrist')",1292.4207191467285,453.38306057453156,0.47770214478174844
2.0,"(23, 'left_hip')",1345.8960571289062,557.0262787342072,0.9995226701100667
2.0,"(24, 'right_hip')",1333.7578125,556.7849099636078,0.9986099441846211
2.0,"(27, 'left_ankle')",1346.82417678833,955.3001568317413,0.9899079461892446
2.0,"(28, 'right_ankle')",1360.1258926391602,963.4274089336395,0.9076422452926636
3.0,"(11, 'left_shoulder')",913.1817817687988,253.41263794898987,0.9999957899252574
3.0,"(12, 'right_shoulder')",901.3229064941406,265.4656323194504,0.9992354094982148
3.0,"(15, 'left_wrist')",866.870080947876,377.42405247688293,0.9964807609717051
3.0,"(16, 'right_wrist')",848.3570404052734,441.73501217365265,0.10877113391955694
3.0,"(23, 'left_hip')",878.6709632873535,539.9124494791031,0.9995457112789154
3.0,"(24, 'right_hip')",863.269380569458,539.3830404281616,0.9975115319093069
3.0,"(27, 'left_ankle')",940.4730014801025,954.2152032852173,0.9885895450909933
3.0,"(28, 'right_ankle')",875.796802520752,945.2960557937622,0.8887265920639038
