f,a,x,y,v
41,28,0.9269355535507202,0.8667656183242798,0.5573942065238953
41,27,0.9190952777862549,0.8898842334747314,0.9648839831352234
41,24,0.9251068830490112,0.505428671836853,0.9946010112762451
41,23,0.9290310144424438,0.507890522480011,0.9983431100845337
41,16,0.8883963227272034,0.39394035935401917,0.10947512835264206
41,15,0.9073813557624817,0.4454178512096405,0.7320207357406616
41,12,0.9278646111488342,0.2575555443763733,0.9973456263542175
41,11,0.9395096302032471,0.23656414449214935,0.9997009038925171
42,28,0.9245573878288269,0.8845111131668091,0.5661530494689941
42,27,0.9277048707008362,0.8187826871871948,0.9594414234161377
42,24,0.9246864914894104,0.5084046721458435,0.9948052763938904
42,23,0.9271094799041748,0.509430468082428,0.9979610443115234
42,16,0.8837966918945312,0.39110708236694336,0.13040791451931
42,15,0.9104616641998291,0.4630199074745178,0.7445462346076965
42,12,0.9257802963256836,0.25574344396591187,0.9975305795669556
42,11,0.9395240545272827,0.2348427027463913,0.9996823072433472
43,28,0.9222280383110046,0.896761953830719,0.6037060618400574
43,27,0.9334789514541626,0.7619957327842712,0.961404025554657
43,24,0.9233717322349548,0.511501669883728,0.9953106045722961
43,23,0.9244489073753357,0.511827290058136,0.9981051683425903
43,16,0.8781461119651794,0.38970229029655457,0.17980611324310303
43,15,0.9056656360626221,0.46105116605758667,0.7606431245803833
43,12,0.9207935929298401,0.2549918293952942,0.9977720975875854
43,11,0.9373790621757507,0.23275335133075714,0.999691367149353
44,28,0.9210999011993408,0.8989211320877075,0.6388229131698608
44,27,0.9327021837234497,0.7426873445510864,0.96226966381073
44,24,0.92039555311203,0.5107645988464355,0.9957697987556458
44,23,0.9232354760169983,0.5102449059486389,0.9982364177703857
44,16,0.8722438812255859,0.3880007266998291,0.2285260111093521
44,15,0.9056180119514465,0.4593476951122284,0.7799528241157532
44,12,0.9169686436653137,0.25238141417503357,0.9979908466339111
44,11,0.9353564977645874,0.22756047546863556,0.9997023344039917
45,28,0.915260910987854,0.8974183797836304,0.6713116765022278
45,27,0.931254506111145,0.7398808598518372,0.9646516442298889
45,24,0.9200801253318787,0.5122115612030029,0.9961794018745422
45,23,0.9216307401657104,0.5125463008880615,0.9983445405960083
45,16,0.8663696646690369,0.38717642426490784,0.28268948197364807
45,15,0.9063212871551514,0.4169894754886627,0.782311737537384
45,12,0.9154689311981201,0.2519431710243225,0.9981889128684998
45,11,0.931662917137146,0.22768394649028778,0.999686062335968
46,28,0.9158694744110107,0.8985750675201416,0.7018510103225708
46,27,0.9202711582183838,0.731356680393219,0.9671085476875305
46,24,0.9202743768692017,0.5129982233047485,0.9965558052062988
46,23,0.9174279570579529,0.5124896168708801,0.9984850883483887
46,16,0.8628937005996704,0.38724520802497864,0.33065065741539
46,15,0.9088970422744751,0.39154595136642456,0.7844796180725098
46,12,0.9129512310028076,0.25169992446899414,0.9983673691749573
46,11,0.927523672580719,0.2258274406194687,0.9996817111968994
47,28,0.915093719959259,0.8967162370681763,0.7293873429298401
47,27,0.9063243269920349,0.7268377542495728,0.9697874784469604
47,24,0.9201525449752808,0.5130344033241272,0.9968950152397156
47,23,0.9144685864448547,0.5117182731628418,0.998624861240387
47,16,0.8587773442268372,0.38699477910995483,0.3789007067680359
47,15,0.9324157238006592,0.3331027925014496,0.7991471886634827
47,12,0.9098783135414124,0.25460997223854065,0.9985255599021912
47,11,0.9254980087280273,0.22607460618019104,0.9997017979621887
48,28,0.9134367108345032,0.895358681678772,0.7542861700057983
48,27,0.8923128247261047,0.7312650680541992,0.9721667170524597
48,24,0.9187154173851013,0.5128942131996155,0.997188925743103
48,23,0.9096943736076355,0.5104657411575317,0.998733401298523
